,,FISHBASE,,,ALTERNATIVE,,,
species,family,depth_min,depth_max,depth_cat,depth_min,depth_max,depth_cat,source
Acanthurus_pyroferus,Acanthuridae,4,60,shallow,4,60,shallow,Fricke et al. 2011
Naso_maculatus,Acanthuridae,43,220,intermediate,43,220,intermediate,Fricke et al. 2011
Naso_mcdadei,Acanthuridae,5,65,shallow,20,65,shallow,IUCN
Zebrasoma_gemmatum,Acanthuridae,10,61,shallow,10,60,shallow,IUCN
Achirus_lineatus,Achiridae,1,20,shallow,1,110,shallow,IUCN
Acipenser_sturio,Acipenseridae,4,93,shallow,5,60,shallow,Lepage and Rochard 1995
Anarrhichthys_ocellatus,Anarhichadidae,1,226,intermediate,0,226,intermediate,Val Kells et al. 2016
Anguilla_megastoma,Anguillidae,0,3000,deep,0,3000,deep,Fricke et al. 2011
Cheilodipterus_macrodon,Apogonidae,0,40,shallow,0,40,shallow,IUCN
Plicofollis_tonggol,Ariidae,10,50,shallow,,"""coastal""",shallow,FAO
Ecsenius_bicolor,Blenniidae,1,25,shallow,1,25,shallow,Fricke et al. 2011
Synchiropus_monacanthus,Callionymidae,175,428,intermediate,175,428,intermediate,Smith and Heemstra 1986
Decapterus_macrosoma,Carangidae,20,214,intermediate,20,214,intermediate,Fricke et al. 2011
Trachinotus_africanus,Carangidae,20,50,shallow,20,50,shallow,al Sakaff and Esseen 1999
Trachurus_novaezelandiae,Carangidae,22,500,intermediate,0,550,intermediate,IUCN
Icichthys_australis,Centrolophidae,0,2141,deep,,2000,deep,McDowall 1982
Chaetodon_adiergastos,Chaetodontidae,1,30,shallow,1,30,shallow,IUCN
Chaetodon_auriga,Chaetodontidae,1,60,shallow,0,35,shallow,Fricke et al. 2011
Chelmon_muelleri,Chaetodontidae,2,10,shallow,1,20,shallow,IUCN
Cheilodactylus_vestitus,Cheilodactylidae,5,30,shallow,0,30,shallow,Fricke et al. 2011
Chiasmodon_niger,Chiasmodontidae,700,2745,deep,750,2745,deep,Coad and Reist 2004
Itycirrhitus_wilhelmi,Cirrhitidae,1,55,shallow,1,55,shallow,IUCN
Dorosoma_petenense,Clupeidae,0,15,shallow,0,50,shallow,IUCN
Engraulis_ringens,Clupeidae,3,80,shallow,0,50,shallow,IUCN
Herklotsichthys_spilurus,Clupeidae,0,50,shallow,0,50,shallow,IUCN
Paraconger_notialis,Congridae,25,50,shallow,25,50,shallow,IUCN
Chilomycterus_antillarum,Diodontidae,1,44,shallow,0,25,shallow,IUCN
Elops_hawaiensis,Elopidae,1,30,shallow,1,30,shallow,IUCN
Discotrema_monogrammum,Gobiesocidae,6,20,shallow,10,20,shallow,IUCN
Amblygobius_decussatus,Gobiidae,3,25,shallow,3,25,shallow,Fricke et al. 2011
Bryaninops_yongei,Gobiidae,3,45,shallow,3,45,shallow,Fricke et al. 2011
Ctenogobiops_tangaroai,Gobiidae,4,40,shallow,2,40,shallow,IUCN
Elacatinus_horsti,Gobiidae,7,27,shallow,1,40,shallow,IUCN
Fusigobius_duospilus,Gobiidae,1,46,shallow,0,42,shallow,Fricke et al. 2011
Gobius_bucchichi,Gobiidae,1,8,shallow,1,6,shallow,IUCN
Gobius_xanthocephalus,Gobiidae,3,36,shallow,0,36,shallow,IUCN
Gramma_loreto,Grammatidae,1,60,shallow,1,100,shallow,IUCN
Haemulon_vittatum,Haemulidae,15,50,shallow,5,50,shallow,IUCN
Plectorhinchus_gibbosus,Haemulidae,8,25,shallow,0,20,shallow,Fricke et al. 2011
Hexagrammos_lagocephalus,Hexagrammidae,0,596,intermediate,0,596,intermediate,Val Kells et al. 2016
Sargocentron_ittodai,Holocentridae,5,70,shallow,5,70,shallow,IUCN
Makaira_nigricans,Istiophoridae,0,200,intermediate,0,209,intermediate,Block et al. 1992
Kyphosus_cinerascens,Kyphosidae,1,45,shallow,1,40,shallow,IUCN
Calotomus_carolinus,Labridae,1,71,shallow,1,71,shallow,Mundy 2005
Cymolutes_torquatus,Labridae,2,20,shallow,1,20,shallow,Fricke et al. 2011
Labroides_pectoralis,Labridae,2,30,shallow,2,28,shallow,Fricke et al. 2011
