species,family,freshwater,marine,depth_min,depth_max,depth_cat
Acanthurus_achilles,Acanthuridae,0,1,0,10,shallow
Acanthurus_auranticavus,Acanthuridae,0,1,1,20,shallow
Acanthurus_bahianus,Acanthuridae,0,1,2,40,shallow
Acanthurus_bariene,Acanthuridae,0,1,6,50,shallow
Acanthurus_blochii,Acanthuridae,0,1,2,15,shallow
Acanthurus_chirurgus,Acanthuridae,0,1,2,25,shallow
Acanthurus_coeruleus,Acanthuridae,0,1,2,40,shallow
Acanthurus_dussumieri,Acanthuridae,0,1,4,131,shallow
Acanthurus_guttatus,Acanthuridae,0,1,0,8,shallow
Acanthurus_japonicus,Acanthuridae,0,1,1,20,shallow
Acanthurus_leucocheilus,Acanthuridae,0,1,3,40,shallow
Acanthurus_leucosternon,Acanthuridae,0,1,0,25,shallow
Acanthurus_lineatus,Acanthuridae,0,1,0,15,shallow
Acanthurus_mata,Acanthuridae,0,1,5,100,shallow
Acanthurus_monroviae,Acanthuridae,0,1,5,200,intermediate
Acanthurus_nigricans,Acanthuridae,0,1,1,67,shallow
Acanthurus_nigricauda,Acanthuridae,0,1,1,30,shallow
Acanthurus_nigrofuscus,Acanthuridae,0,1,0,25,shallow
Acanthurus_nigroris,Acanthuridae,0,1,1,90,shallow
Acanthurus_nubilus,Acanthuridae,0,1,5,90,shallow
Acanthurus_olivaceus,Acanthuridae,0,1,3,46,shallow
Acanthurus_pyroferus,Acanthuridae,0,1,4,60,shallow
Acanthurus_tennentii,Acanthuridae,0,1,1,40,shallow
Acanthurus_thompsoni,Acanthuridae,0,1,4,119,shallow
Acanthurus_triostegus,Acanthuridae,0,1,0,90,shallow
Acanthurus_xanthopterus,Acanthuridae,0,1,1,100,shallow
Ctenochaetus_binotatus,Acanthuridae,0,1,8,53,shallow
Ctenochaetus_cyanocheilus,Acanthuridae,0,1,1,46,shallow
Ctenochaetus_flavicauda,Acanthuridae,0,1,1,30,shallow
Ctenochaetus_hawaiiensis,Acanthuridae,0,1,1,61,shallow
Ctenochaetus_striatus,Acanthuridae,0,1,1,35,shallow
Ctenochaetus_strigosus,Acanthuridae,0,1,1,113,shallow
Ctenochaetus_tominiensis,Acanthuridae,0,1,3,45,shallow
Ctenochaetus_truncatus,Acanthuridae,0,1,1,21,shallow
Naso_annulatus,Acanthuridae,0,1,1,60,shallow
Naso_brachycentron,Acanthuridae,0,1,8,30,shallow
Naso_brevirostris,Acanthuridae,0,1,2,122,shallow
Naso_caeruleacauda,Acanthuridae,0,1,15,45,shallow
Naso_caesius,Acanthuridae,0,1,15,50,shallow
Naso_elegans,Acanthuridae,0,1,5,30,shallow
Naso_fageni,Acanthuridae,0,1,3,35,shallow
Naso_hexacanthus,Acanthuridae,0,1,6,150,shallow
Naso_lituratus,Acanthuridae,0,1,0,90,shallow
Naso_lopezi,Acanthuridae,0,1,20,50,shallow
Naso_maculatus,Acanthuridae,0,1,43,220,intermediate
Naso_mcdadei,Acanthuridae,0,1,5,65,shallow
Naso_minor,Acanthuridae,0,1,8,55,shallow
Naso_thynnoides,Acanthuridae,0,1,2,40,shallow
Naso_tonganus,Acanthuridae,0,1,2,40,shallow
Naso_unicornis,Acanthuridae,0,1,1,180,shallow
Naso_vlamingii,Acanthuridae,0,1,1,50,shallow
Paracanthurus_hepatus,Acanthuridae,0,1,2,40,shallow
Prionurus_laticlavius,Acanthuridae,0,1,3,30,shallow
Prionurus_punctatus,Acanthuridae,0,1,5,35,shallow
Zebrasoma_desjardinii,Acanthuridae,0,1,3,30,shallow
Zebrasoma_flavescens,Acanthuridae,0,1,2,46,shallow
Zebrasoma_gemmatum,Acanthuridae,0,1,10,61,shallow
Zebrasoma_scopas,Acanthuridae,0,1,1,60,shallow
Zebrasoma_velifer,Acanthuridae,0,1,1,45,shallow
Achirus_lineatus,Achiridae,0,1,1,20,shallow
Gymnachirus_melas,Achiridae,0,1,0,73,shallow
Trinectes_maculatus,Achiridae,1,1,0,75,shallow
Trinectes_paulistanus,Achiridae,1,1,1,16,shallow
Acipenser_gueldenstaedtii,Acipenseridae,1,1,2,100,shallow
Acipenser_naccarii,Acipenseridae,1,1,10,40,shallow
Acipenser_nudiventris,Acipenseridae,1,1,30,60,shallow
Acipenser_stellatus,Acipenseridae,1,1,10,100,shallow
Acipenser_sturio,Acipenseridae,1,1,4,93,shallow
Huso_huso,Acipenseridae,1,1,70,180,shallow
Acropoma_hanedai,Acropomatidae,0,1,50,400,intermediate
Acropoma_japonicum,Acropomatidae,0,1,100,500,intermediate
Doederleinia_berycoides,Acropomatidae,0,1,100,600,intermediate
Malakichthys_barbatus,Acropomatidae,0,1,100,600,intermediate
Malakichthys_elegans,Acropomatidae,0,1,165,208,intermediate
Synagrops_bellus,Acropomatidae,0,1,60,910,intermediate
Synagrops_japonicus,Acropomatidae,0,1,50,1000,deep
Synagrops_philippinensis,Acropomatidae,0,1,186,220,intermediate
Synagrops_spinosus,Acropomatidae,0,1,87,544,intermediate
Agonopsis_sterletus,Agonidae,0,1,42,91,shallow
Agonopsis_vulsa,Agonidae,0,1,0,163,shallow
Agonus_cataphractus,Agonidae,0,1,0,270,intermediate
Anoplagonus_inermis,Agonidae,0,1,8,102,shallow
Aspidophoroides_monopterygius,Agonidae,0,1,0,695,intermediate
Bathyagonus_alascanus,Agonidae,0,1,18,252,intermediate
Bathyagonus_infraspinatus,Agonidae,0,1,18,183,shallow
Bathyagonus_nigripinnis,Agonidae,0,1,18,1290,deep
Bathyagonus_pentacanthus,Agonidae,0,1,110,910,intermediate
Blepsias_bilobus,Agonidae,0,1,0,250,intermediate
Blepsias_cirrhosus,Agonidae,0,1,0,150,shallow
Freemanichthys_thompsoni,Agonidae,0,1,10,300,intermediate
Hemilepidotus_gilberti,Agonidae,0,1,0,604,intermediate
Hemilepidotus_hemilepidotus,Agonidae,0,1,0,450,intermediate
Hemilepidotus_jordani,Agonidae,0,1,257,604,intermediate
Hemilepidotus_papilio,Agonidae,0,1,4,320,intermediate
Hemilepidotus_spinosus,Agonidae,0,1,0,780,intermediate
Hemilepidotus_zapus,Agonidae,0,1,61,530,intermediate
Hemitripterus_americanus,Agonidae,0,1,2,180,shallow
Hemitripterus_villosus,Agonidae,0,1,0,550,intermediate
Hypsagonus_quadricornis,Agonidae,0,1,0,452,intermediate
Leptagonus_decagonus,Agonidae,0,1,0,930,intermediate
Nautichthys_robustus,Agonidae,0,1,0,73,shallow
Odontopyxis_trispinosa,Agonidae,0,1,9,373,intermediate
Podothecus_accipenserinus,Agonidae,0,1,2,710,intermediate
Podothecus_sachi,Agonidae,0,1,20,269,intermediate
Podothecus_veternus,Agonidae,0,1,10,605,intermediate
Sarritor_leptorhynchus,Agonidae,0,1,20,460,intermediate
Stellerina_xyosterna,Agonidae,0,1,5,75,shallow
Tilesina_gibbosa,Agonidae,0,1,15,400,intermediate
Xeneretmus_latifrons,Agonidae,0,1,18,400,intermediate
Xeneretmus_leiops,Agonidae,0,1,37,399,intermediate
Albula_argentea,Albulidae,0,1,2,90,shallow
Albula_vulpes,Albulidae,0,1,0,84,shallow
Pterothrissus_gissu,Albulidae,0,1,147,1000,deep
Alepisaurus_brevirostris,Alepisauridae,0,1,640,1591,deep
Alepisaurus_ferox,Alepisauridae,0,1,0,1830,deep
Anotopterus_nikparini,Alepisauridae,0,1,0,2750,deep
Anotopterus_pharao,Alepisauridae,0,1,0,5100,deep
Omosudis_lowii,Alepisauridae,0,1,0,4000,deep
